time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1742264438.75602388,0.02403011,13790,0.00370106,0.00000000,0,0.00000000,32898,33476,1274,0.00250179
1742264438.85611391,0.02436860,13750,0.00437176,0.00000000,0,0.00000000,33476,34332,1542,0.00354663
1742264438.95583701,0.02402809,13720,0.00416786,0.00000000,0,0.00000000,34332,35120,1465,0.00294315
1742264439.05594802,0.01907598,13733,0.00336760,0.00000000,0,0.00000000,35120,35605,1058,0.00253392
1742264439.15683389,0.01625091,13733,0.00184852,0.00000000,0,0.00000000,35605,35721,534,0.00250979
1742264439.25619411,0.02058584,13715,0.00455771,0.00000000,0,0.00000000,35721,36049,1207,0.00304273
1742264439.35629201,0.01585899,13715,0.00221298,0.00000000,0,0.00000000,36049,36206,549,0.00248694
1742264439.45639801,0.02491696,13710,0.00438084,0.00000000,0,0.00000000,36206,36866,1426,0.00248909
1742264439.55626512,0.02211277,13710,0.00302435,0.00000000,0,0.00000000,36866,37000,700,0.00266045
1742264439.65634894,0.01914854,13682,0.00345652,0.00000000,0,0.00000000,37000,37617,1333,0.00300473
1742264439.75625610,0.01599466,13682,0.00211506,0.00000000,0,0.00000000,37617,37807,610,0.00254616
1742264439.85670805,0.01945869,13651,0.00386497,0.00000000,0,0.00000000,37807,38420,1363,0.00253053
1742264439.95693994,0.01796577,13673,0.00391515,0.00000000,0,0.00000000,38420,38813,970,0.00250031
1742264440.05611706,0.01926794,13771,0.00331281,0.00000000,0,0.00000000,38813,39256,1218,0.00253759
1742264440.15597296,0.01602157,13771,0.00218481,0.00000000,0,0.00000000,39256,39429,597,0.00254572
1742264440.25655603,0.01977054,13758,0.00364354,0.00000000,0,0.00000000,39429,39802,1165,0.00250750
1742264440.35665202,0.01640314,13758,0.00179963,0.00000000,0,0.00000000,39802,40019,566,0.00247364
1742264440.45649695,0.02006752,13786,0.00419734,0.00000000,0,0.00000000,40019,40614,1438,0.00250445
1742264440.55623794,0.01763954,13792,0.00329170,0.00000000,0,0.00000000,40614,40999,1008,0.00262010
1742264440.65606499,0.01693196,13820,0.00302362,0.00000000,0,0.00000000,40999,41361,933,0.00249181
1742264440.75605798,0.02239078,13832,0.00328214,0.00000000,0,0.00000000,41361,41765,892,0.00249831
1742264440.85603905,0.02035894,13843,0.00460574,0.00000000,0,0.00000000,41765,42377,1262,0.00249174
1742264440.95591092,0.02048727,13829,0.00437384,0.00000000,0,0.00000000,42377,42905,1324,0.00260860
1742264441.05614495,0.01720765,13829,0.00236514,0.00000000,0,0.00000000,42905,43137,679,0.00250851
1742264441.15619612,0.02001508,13703,0.00392127,0.00000000,0,0.00000000,43137,43756,1385,0.00249874
1742264441.25597000,0.01794769,13697,0.00315779,0.00000000,0,0.00000000,43756,44289,1085,0.00257452
1742264441.35698104,0.02045937,13722,0.00434394,0.00000000,0,0.00000000,44289,44737,1400,0.00245699
1742264441.45683193,0.02107343,13805,0.00513150,0.00000000,0,0.00000000,44737,45315,1433,0.00249072
1742264441.55648899,0.02012262,13764,0.00413268,0.00000000,0,0.00000000,45315,45938,1296,0.00249669
1742264441.65592504,0.01964427,13856,0.00344506,0.00000000,0,0.00000000,45938,46485,1076,0.00248956
1742264441.75675106,0.01907775,13839,0.00268684,0.00000000,0,0.00000000,46485,46938,933,0.00261990
1742264441.85660100,0.01604368,13839,0.00169408,0.00000000,0,0.00000000,46938,47107,460,0.00250652
1742264441.95616198,0.01883643,13817,0.00267203,0.00000000,0,0.00000000,47107,47427,887,0.00242558
1742264442.05588698,0.01878099,13814,0.00279242,0.00000000,0,0.00000000,47427,47809,925,0.00265763
1742264442.15661311,0.02383947,13803,0.00337173,0.00000000,0,0.00000000,47809,48097,857,0.00269119
